
Gurobi 9.5.0 (linux64) logging started Sat Apr 30 06:16:01 2022

Set parameter LogFile to value "/local_workspace/chenrui/LogFiles/MKAP/new2S_R25_M30_N300_seed7_DWcutsCT5_600.log"
Gurobi Optimizer version 9.5.0 build v9.5.0rc5 (linux64)
Thread count: 56 physical cores, 56 logical processors, using up to 4 threads
Optimize a model with 21210 rows, 9750 columns and 274539 nonzeros
Model fingerprint: 0x86a47ed5
Variable types: 0 continuous, 9750 integer (9750 binary)
Coefficient statistics:
  Matrix range     [1e-13, 2e+04]
  Objective range  [2e+01, 1e+03]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e-16, 1e+00]
Warning: Model contains large matrix coefficient range
         Consider reformulating model or setting NumericFocus parameter
         to avoid numerical issues.
Found heuristic solution: objective 0.0000000
Presolve removed 2991 rows and 756 columns
Presolve time: 0.82s
Presolved: 18219 rows, 8994 columns, 228403 nonzeros
Variable types: 0 continuous, 8994 integer (8994 binary)
Found heuristic solution: objective -7567.000000

Root simplex log...

Iteration    Objective       Primal Inf.    Dual Inf.      Time
   15563   -9.2624608e+04   5.764862e+04   0.000000e+00      5s
   19204   -9.2558236e+04   0.000000e+00   0.000000e+00      7s

Root relaxation: objective -9.255824e+04, 19204 iterations, 6.30 seconds (10.59 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
  1887  1283 -92455.103   95  113 -92291.000 -92552.597  0.28%   508  344s
  2037  1269 -92448.631  123  166 -92291.000 -92552.597  0.28%   494  350s
  2107  1295 -92552.092   22  589 -92291.000 -92552.597  0.28%   489  357s
  2157  1440 -92527.086   31  515 -92291.000 -92552.597  0.28%   494  365s
  2358  1444 -92545.866   23  563 -92291.000 -92552.597  0.28%   483  373s
  2468  1558 -92530.472   41  346 -92291.000 -92552.597  0.28%   486  383s
  2619  1558 -92436.981   93  371 -92291.000 -92552.597  0.28%   490  394s
  2678  1757 -92381.404  118  260 -92291.000 -92552.597  0.28%   485  404s
  2944  1827 -92544.312   26  594 -92291.000 -92552.597  0.28%   467  415s
  3146  1960 -92514.525   58  542 -92291.000 -92552.597  0.28%   456  427s
  3384  2006 -92406.400  128  306 -92291.000 -92552.597  0.28%   452  438s
  3543  2114 -92443.844   44  459 -92291.000 -92552.597  0.28%   456  452s
  3717  2279 -92386.599  101  297 -92291.000 -92552.597  0.28%   450  466s
  4002  2467 -92367.531   46  494 -92291.000 -92552.597  0.28%   440  481s
  4250  2766 -92356.398   32  473 -92291.000 -92552.597  0.28%   437  506s
  4645  3142 -92551.223   21  570 -92291.000 -92552.597  0.28%   420  524s
  5070  3562 -92532.417   31  557 -92291.000 -92552.597  0.28%   417  544s
  5561  3833 -92406.883   26  562 -92291.000 -92552.369  0.28%   410  564s
  5893  4044 -92443.425   55  390 -92291.000 -92552.188  0.28%   415  585s
  6143  4217 -92511.039   44  614 -92291.000 -92552.024  0.28%   417  600s

Cutting planes:
  Cover: 16

Explored 6334 nodes (2657787 simplex iterations) in 600.01 seconds (1303.59 work units)
Thread count was 4 (of 56 available processors)

Solution count 10: -92291 -92277 -92252 ... -7567

Time limit reached
Best objective -9.229100000000e+04, best bound -9.255200000000e+04, gap 0.2828%
